id,occupation,location,tstamp,treatment,treated_cg,treated_em,did_mc,started_assignment,completed_assignment,time_read,time_check,time_ready,time_assignment,man_check_cgo_correct,man_check_emi_correct,passed_both_mc,sga,da,fvg_market,fvg_model,gains_inv_property,int_exp,tax_exp,dinclude
VO0PASZBN45P9I4Q,Financial Analyst,Rest of World,2019-07-03 09:35:08,3,TRUE,FALSE,TRUE,TRUE,FALSE,5.09294533729553,40.1770226955414,10.6232426166534,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
J7U7Y1KCE3XMGRXT,Portfolio Manager,Europe,2019-07-03 09:36:40,3,TRUE,FALSE,TRUE,TRUE,TRUE,16.616287946701,16.0598757266998,2.67389130592346,96.814361333847,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
0CQMMQ76STU4G7HI,Financial Analyst,Europe,2019-07-03 09:46:22,1,FALSE,FALSE,TRUE,TRUE,TRUE,229.898327112198,9.59611558914185,2.89070534706116,44.2557220458984,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
QZ46J2YTAUUZ5WN5,Financial Analyst,Europe,2019-07-03 09:47:24,2,FALSE,TRUE,TRUE,TRUE,FALSE,1.87487077713013,25.510089635849,6.78802847862244,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
9YWEJMGN8MJWRIYX,Portfolio Manager,Europe,2019-07-03 09:55:40,2,FALSE,TRUE,TRUE,TRUE,TRUE,41.7038793563843,12.6592280864716,2.36004161834717,46.7556335926056,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
WXM2A4RVHPRHRUPC,Portfolio Manager,Rest of World,2019-07-03 10:03:06,3,TRUE,FALSE,TRUE,TRUE,TRUE,43.2585480213165,13.2354748249054,6.608811378479,70.3915205001831,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
AXYC42TSGHPIUBP9,Financial Analyst,Europe,2019-07-03 10:16:37,4,TRUE,TRUE,TRUE,TRUE,TRUE,1.55161666870117,5.35904026031494,1.23076772689819,60.8728420734406,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-1
UOZVT483GI0RF6LT,Financial Analyst,Europe,2019-07-03 10:05:19,2,FALSE,TRUE,TRUE,TRUE,FALSE,14.3509974479675,11.2929854393005,1.15990495681763,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
VQN25MLE60ZJRHAJ,Financial Analyst,Europe,2019-07-03 10:22:30,4,TRUE,TRUE,TRUE,TRUE,TRUE,2.15030026435852,13.2337398529053,1.91914796829224,28.5127379894257,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-0.5
IUIMIER2L3W69XO1,Portfolio Manager,Europe,2019-07-03 10:12:55,4,TRUE,TRUE,TRUE,TRUE,TRUE,22.2413330078125,9.63171052932739,3.03228521347046,95.7115867137909,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
